brand,category_code,event_type,count
colourpop,apparel.costume,cart,8
colourpop,apparel.costume,purchase,2
colourpop,apparel.costume,view,257
colourpop,apparel.shoes,cart,18
colourpop,apparel.shoes,purchase,4
colourpop,apparel.shoes,view,1361
colourpop,apparel.shoes.sandals,cart,14
colourpop,apparel.shoes.sandals,purchase,5
colourpop,apparel.shoes.sandals,view,294
colourpop,construction.tools.pump,cart,2
colourpop,construction.tools.pump,purchase,2
colourpop,construction.tools.pump,view,378
columbia,accessories.bag,cart,19
columbia,accessories.bag,purchase,8
columbia,accessories.bag,view,753
columbia,apparel.costume,cart,13
columbia,apparel.costume,purchase,5
columbia,apparel.costume,view,505
columbia,apparel.jumper,view,1
columbia,apparel.pajamas,view,46
columbia,apparel.shirt,cart,3
columbia,apparel.shirt,purchase,1
columbia,apparel.shirt,view,424
columbia,apparel.shoes,view,177
columbia,apparel.shoes.ballet_shoes,view,133
columbia,apparel.shoes.keds,view,4
columbia,apparel.sock,cart,17
columbia,apparel.sock,purchase,2
columbia,apparel.sock,view,2215
columbia,apparel.trousers,cart,56
columbia,apparel.trousers,purchase,15
columbia,apparel.trousers,view,1393
columbia,apparel.tshirt,cart,1
columbia,apparel.tshirt,view,379
columbia,apparel.underwear,cart,1
columbia,apparel.underwear,view,83
columbia,appliances.kitchen.meat_grinder,cart,2
columbia,appliances.kitchen.meat_grinder,purchase,1
columbia,appliances.kitchen.meat_grinder,view,194
columbia,computers.components.motherboard,cart,1
columbia,computers.components.motherboard,view,651
columbia,computers.components.videocards,cart,13
columbia,computers.components.videocards,view,3918
columbia,construction.tools.drill,cart,61
columbia,construction.tools.drill,purchase,18
columbia,construction.tools.drill,view,2240
columbia,country_yard.lawn_mower,cart,1
columbia,country_yard.lawn_mower,view,225
columbia,electronics.audio.music_tools.piano,cart,122
columbia,electronics.audio.music_tools.piano,purchase,35
columbia,electronics.audio.music_tools.piano,view,3528
columbia,electronics.clocks,view,6
columbia,furniture.bathroom.bath,view,199
columbia,kids.toys,cart,8
columbia,kids.toys,purchase,2
columbia,kids.toys,view,344
columbia,sport.bicycle,cart,7
columbia,sport.bicycle,purchase,2
columbia,sport.bicycle,view,721
columbia,sport.ski,cart,9
columbia,sport.ski,purchase,2
columbia,sport.ski,view,934
comet,appliances.kitchen.toster,cart,61
comet,appliances.kitchen.toster,purchase,8
comet,appliances.kitchen.toster,view,54
comf-pro,electronics.tablet,view,42
comfee,appliances.kitchen.washer,view,22
comforser,computers.desktop,view,1
comfort,apparel.jeans,view,11
comfort,apparel.underwear,cart,104
comfort,apparel.underwear,purchase,15
comfort,apparel.underwear,view,6702
comfortbaby,apparel.shoes,view,4
comfortzone,apparel.shoes,view,50
comma,construction.tools.welding,cart,2
comma,construction.tools.welding,purchase,1
comma,construction.tools.welding,view,171
compliment,apparel.shirt,cart,151
compliment,apparel.shirt,purchase,50
compliment,apparel.shirt,view,1469
compliment,construction.tools.pump,cart,3
compliment,construction.tools.pump,view,84
compliment,construction.tools.saw,cart,12
compliment,construction.tools.saw,purchase,5
compliment,construction.tools.saw,view,164
compliment,furniture.bedroom.pillow,cart,6
compliment,furniture.bedroom.pillow,purchase,4
compliment,furniture.bedroom.pillow,view,222
compliment,furniture.living_room.sofa,cart,25
compliment,furniture.living_room.sofa,purchase,8
compliment,furniture.living_room.sofa,view,296
comporta,apparel.shoes.sandals,view,146
concept,apparel.shirt,view,1
concept,apparel.shoes,cart,124
concept,apparel.shoes,purchase,29
concept,apparel.shoes,view,1169
conceptclub,apparel.costume,view,3
conceptclub,apparel.dress,cart,4
conceptclub,apparel.dress,view,10
conceptclub,apparel.jumper,view,8
conceptclub,apparel.shirt,view,1
conceptclub,apparel.skirt,view,3
conceptclub,apparel.trousers,view,1
condor,kids.fmcg.diapers,cart,2
condor,kids.fmcg.diapers,purchase,1
condor,kids.fmcg.diapers,view,87
condtrol,accessories.wallet,view,47
condtrol,apparel.costume,cart,21
condtrol,apparel.costume,purchase,5
condtrol,apparel.costume,view,819
condtrol,apparel.shoes,cart,1
condtrol,apparel.shoes,purchase,1
condtrol,apparel.shoes,view,229
condtrol,apparel.tshirt,cart,14
condtrol,apparel.tshirt,purchase,5
condtrol,apparel.tshirt,view,557
condtrol,construction.tools.welding,cart,10
condtrol,construction.tools.welding,purchase,6
condtrol,construction.tools.welding,view,657
condtrol,sport.ski,cart,1
condtrol,sport.ski,view,74
confetti,apparel.pajamas,view,2
confetti,sport.bicycle,cart,14
confetti,sport.bicycle,purchase,7
confetti,sport.bicycle,view,197
conte,apparel.shoes.slipons,cart,2
conte,apparel.shoes.slipons,view,36
continent,accessories.bag,cart,3
continent,accessories.bag,purchase,2
continent,accessories.bag,view,143
continent,apparel.jumper,view,1
continent,apparel.shoes,view,4
continent,country_yard.cultivator,cart,183
continent,country_yard.cultivator,purchase,56
continent,country_yard.cultivator,view,1827
continent,furniture.kitchen.chair,cart,9
continent,furniture.kitchen.chair,purchase,3
continent,furniture.kitchen.chair,view,629
continent,sport.bicycle,cart,104
continent,sport.bicycle,purchase,27
continent,sport.bicycle,view,1532
continent,sport.ski,cart,213
continent,sport.ski,purchase,57
continent,sport.ski,view,4028
continent,sport.tennis,cart,679
continent,sport.tennis,purchase,190
continent,sport.tennis,view,12805
continental,computers.desktop,cart,2
continental,computers.desktop,view,34
contour,apparel.shoes.keds,view,31
converse,apparel.shoes.keds,cart,29
converse,apparel.shoes.keds,purchase,10
converse,apparel.shoes.keds,view,1784
converse,country_yard.cultivator,cart,6
converse,country_yard.cultivator,purchase,2
converse,country_yard.cultivator,view,1447
converse,kids.toys,cart,1
converse,kids.toys,view,251
coolermaster,computers.components.power_supply,view,14
coolfort,appliances.kitchen.refrigerators,cart,55
coolfort,appliances.kitchen.refrigerators,purchase,15
coolfort,appliances.kitchen.refrigerators,view,3976
coolinar,construction.tools.generator,view,3
coolmaster,appliances.kitchen.mixer,cart,12
coolmaster,appliances.kitchen.mixer,purchase,3
coolmaster,appliances.kitchen.mixer,view,411
coopervision,apparel.shirt,view,65
coopervision,construction.tools.saw,cart,6
coopervision,construction.tools.saw,view,389
cordial,furniture.living_room.sofa,cart,2
cordial,furniture.living_room.sofa,view,328
cornerstone,computers.notebook,view,5
corps,apparel.shoes,view,2
corps,kids.toys,view,19
corpus,computers.notebook,view,30
corpus,furniture.universal.light,cart,1
corpus,furniture.universal.light,purchase,1
corpus,furniture.universal.light,view,126
corsair,appliances.kitchen.juicer,view,88
corsair,computers.components.cooler,view,2
corsair,computers.components.hdd,view,2
corsair,computers.components.power_supply,cart,17
corsair,computers.components.power_supply,purchase,12
corsair,computers.components.power_supply,view,852
corsair,computers.peripherals.mouse,cart,8
corsair,computers.peripherals.mouse,purchase,4
corsair,computers.peripherals.mouse,view,1062
corsair,sport.trainer,view,722
corsocomo,apparel.shoes.sandals,view,108
corsocomo,computers.peripherals.mouse,cart,9
corsocomo,computers.peripherals.mouse,purchase,1
corsocomo,computers.peripherals.mouse,view,337
cort,apparel.shirt,view,9
cort,apparel.underwear,cart,80
cort,apparel.underwear,purchase,14
cort,apparel.underwear,view,3562
cort,electronics.audio.acoustic,cart,19
cort,electronics.audio.acoustic,purchase,7
cort,electronics.audio.acoustic,view,1863
cort,electronics.audio.microphone,view,70
cort,kids.swing,view,30
cortland,apparel.underwear,cart,41
cortland,apparel.underwear,purchase,12
cortland,apparel.underwear,view,1276
cortland,electronics.audio.acoustic,cart,9
cortland,electronics.audio.acoustic,purchase,7
cortland,electronics.audio.acoustic,view,154
cosottinni,appliances.environment.climate,cart,104
cosottinni,appliances.environment.climate,purchase,30
cosottinni,appliances.environment.climate,view,4825
cosottinni,construction.tools.drill,cart,141
cosottinni,construction.tools.drill,purchase,47
cosottinni,construction.tools.drill,view,6021
cosottinni,country_yard.cultivator,cart,4
cosottinni,country_yard.cultivator,purchase,3
cosottinni,country_yard.cultivator,view,426
cosrx,furniture.living_room.sofa,cart,1
cosrx,furniture.living_room.sofa,purchase,1
cosrx,furniture.living_room.sofa,view,103
coty,apparel.shoes,cart,188
coty,apparel.shoes,purchase,58
coty,apparel.shoes,view,2051
cougar,apparel.scarf,cart,3
cougar,apparel.scarf,purchase,1
cougar,apparel.scarf,view,486
cougar,computers.components.power_supply,cart,79
cougar,computers.components.power_supply,purchase,28
cougar,computers.components.power_supply,view,3447
cougar,computers.peripherals.keyboard,view,2
cougar,computers.peripherals.mouse,cart,9
cougar,computers.peripherals.mouse,purchase,4
cougar,computers.peripherals.mouse,view,611
cougar,electronics.tablet,cart,65
cougar,electronics.tablet,purchase,25
cougar,electronics.tablet,view,2682
cougar,furniture.kitchen.table,cart,9
cougar,furniture.kitchen.table,purchase,1
cougar,furniture.kitchen.table,view,154
cougar,sport.trainer,cart,66
cougar,sport.trainer,purchase,11
cougar,sport.trainer,view,4800
courvoisier,apparel.shoes.sandals,view,35
covani,apparel.shoes,cart,68
covani,apparel.shoes,purchase,11
covani,apparel.shoes,view,2850
covani,apparel.underwear,cart,9
covani,apparel.underwear,purchase,4
covani,apparel.underwear,view,866
covani,computers.peripherals.mouse,cart,2
covani,computers.peripherals.mouse,view,405
covani,kids.toys,cart,34
covani,kids.toys,purchase,8
covani,kids.toys,view,1226
cover,apparel.shoes,cart,6
cover,apparel.shoes,view,1049
cover,apparel.shoes.keds,cart,5
cover,apparel.shoes.keds,purchase,1
cover,apparel.shoes.keds,view,212
cover,apparel.underwear,cart,2
cover,apparel.underwear,view,198
cover,electronics.clocks,cart,39
cover,electronics.clocks,purchase,10
cover,electronics.clocks,view,2294
cover,furniture.living_room.chair,view,1
cowon,auto.accessories.compressor,cart,4
cowon,auto.accessories.compressor,view,400
cowon,sport.bicycle,view,58
cozmo,electronics.clocks,view,50
cpl,furniture.kitchen.table,view,33
craft,apparel.shoes.keds,cart,9
craft,apparel.shoes.keds,purchase,1
craft,apparel.shoes.keds,view,1115
craft,electronics.clocks,cart,2
craft,electronics.clocks,view,57
crea,appliances.personal.massager,view,20
creative,sport.bicycle,view,120
creature,kids.skates,view,1
creavit,appliances.personal.massager,view,2
creed,apparel.jeans,cart,1
creed,apparel.jeans,view,45
creed,apparel.shoes.sandals,cart,440
creed,apparel.shoes.sandals,purchase,151
creed,apparel.shoes.sandals,view,12802
creo,appliances.personal.massager,view,26
creo,construction.tools.light,view,3
crescina,apparel.shoes,view,37
crescina,appliances.personal.massager,view,80
crescina,auto.accessories.winch,view,81
cressi,apparel.costume,cart,2
cressi,apparel.costume,view,246
crest,apparel.shirt,view,5
crest,auto.accessories.compressor,cart,2
crest,auto.accessories.compressor,purchase,1
crest,auto.accessories.compressor,view,11
crockid,accessories.bag,cart,34
crockid,accessories.bag,purchase,13
crockid,accessories.bag,view,797
crockid,apparel.shirt,view,23
crockid,apparel.shoes,cart,4
crockid,apparel.shoes,purchase,1
crockid,apparel.shoes,view,115
crockid,apparel.shorts,view,1
crockid,apparel.tshirt,cart,5
crockid,apparel.tshirt,purchase,2
crockid,apparel.tshirt,view,102
crockid,electronics.audio.acoustic,cart,14
crockid,electronics.audio.acoustic,purchase,1
crockid,electronics.audio.acoustic,view,352
crockid,electronics.camera.photo,cart,4
crockid,electronics.camera.photo,purchase,1
crockid,electronics.camera.photo,view,144
crockid,electronics.tablet,cart,6
crockid,electronics.tablet,purchase,3
crockid,electronics.tablet,view,150
crockid,sport.trainer,view,1
crona,furniture.bedroom.bed,cart,51
crona,furniture.bedroom.bed,purchase,16
crona,furniture.bedroom.bed,view,709
crosby,apparel.shoes.keds,view,13
crosby,appliances.kitchen.refrigerators,view,5
crosby,construction.tools.drill,view,166
crosby,country_yard.cultivator,view,4
crowdgames,apparel.sock,view,1
crown,accessories.bag,cart,102
crown,accessories.bag,purchase,23
crown,accessories.bag,view,3657
crown,apparel.costume,cart,10
crown,apparel.costume,purchase,4
crown,apparel.costume,view,352
crown,apparel.pajamas,cart,1
crown,apparel.pajamas,view,160
crown,apparel.scarf,cart,37
crown,apparel.scarf,purchase,11
crown,apparel.scarf,view,887
crown,apparel.shoes,cart,116
crown,apparel.shoes,purchase,15
crown,apparel.shoes,view,2221
crown,appliances.environment.air_heater,view,16
crown,appliances.kitchen.hob,cart,2
crown,appliances.kitchen.hob,purchase,1
crown,appliances.kitchen.hob,view,261
crown,appliances.kitchen.hood,cart,1397
crown,appliances.kitchen.hood,purchase,361
crown,appliances.kitchen.hood,view,32662
crown,appliances.kitchen.kettle,cart,54
crown,appliances.kitchen.kettle,purchase,19
crown,appliances.kitchen.kettle,view,2768
crown,appliances.kitchen.toster,cart,1
crown,appliances.kitchen.toster,view,187
crown,appliances.personal.massager,cart,22
crown,appliances.personal.massager,purchase,6
crown,appliances.personal.massager,view,615
crown,appliances.personal.scales,cart,42
crown,appliances.personal.scales,purchase,11
crown,appliances.personal.scales,view,1378
crown,computers.components.motherboard,view,2
crown,computers.components.power_supply,cart,56
crown,computers.components.power_supply,purchase,12
crown,computers.components.power_supply,view,1852
crown,computers.ebooks,view,1
crown,computers.peripherals.keyboard,cart,1
crown,computers.peripherals.keyboard,view,41
crown,computers.peripherals.mouse,cart,24
crown,computers.peripherals.mouse,purchase,11
crown,computers.peripherals.mouse,view,725
crown,construction.tools.drill,cart,8
crown,construction.tools.drill,purchase,2
crown,construction.tools.drill,view,609
crown,construction.tools.light,cart,783
crown,construction.tools.light,purchase,208
crown,construction.tools.light,view,15896
crown,construction.tools.saw,cart,8
crown,construction.tools.saw,purchase,3
crown,construction.tools.saw,view,393
crown,construction.tools.screw,view,1
crown,construction.tools.soldering,view,11
crown,construction.tools.welding,cart,65
crown,construction.tools.welding,purchase,16
crown,construction.tools.welding,view,1577
crown,country_yard.cultivator,view,268
crown,electronics.audio.acoustic,cart,45
crown,electronics.audio.acoustic,purchase,10
crown,electronics.audio.acoustic,view,1153
crown,electronics.audio.headphone,view,1
crown,electronics.audio.microphone,cart,664
crown,electronics.audio.microphone,purchase,174
crown,electronics.audio.microphone,view,12967
crown,electronics.clocks,cart,10
crown,electronics.clocks,purchase,2
crown,electronics.clocks,view,354
crown,furniture.kitchen.chair,cart,45
crown,furniture.kitchen.chair,purchase,5
crown,furniture.kitchen.chair,view,695
crown,furniture.kitchen.table,cart,106
crown,furniture.kitchen.table,purchase,30
crown,furniture.kitchen.table,view,1956
crown,sport.bicycle,cart,120
crown,sport.bicycle,purchase,24
crown,sport.bicycle,view,4342
crown,sport.ski,cart,55
crown,sport.ski,purchase,10
crown,sport.ski,view,1563
crown,sport.trainer,cart,4
crown,sport.trainer,purchase,3
crown,sport.trainer,view,676
crown,stationery.cartrige,cart,4
crown,stationery.cartrige,purchase,2
crown,stationery.cartrige,view,29
crucial,apparel.shoes.slipons,cart,471
crucial,apparel.shoes.slipons,purchase,128
crucial,apparel.shoes.slipons,view,12114
crucial,appliances.kitchen.juicer,cart,54
crucial,appliances.kitchen.juicer,purchase,22
crucial,appliances.kitchen.juicer,view,1656
crucial,computers.components.hdd,view,1
crucial,computers.components.memory,cart,7
crucial,computers.components.memory,purchase,3
crucial,computers.components.memory,view,127
crunch,apparel.shoes.ballet_shoes,cart,1
crunch,apparel.shoes.ballet_shoes,view,33
crusader,electronics.audio.acoustic,view,2
crybabies,appliances.kitchen.grill,cart,6
crybabies,appliances.kitchen.grill,purchase,2
crybabies,appliances.kitchen.grill,view,259
crystal,apparel.shoes,cart,24
crystal,apparel.shoes,purchase,3
crystal,apparel.shoes,view,224
crystal,furniture.kitchen.table,cart,3
crystal,furniture.kitchen.table,view,355
crystalite,apparel.shoes,cart,3
crystalite,apparel.shoes,view,60
cth,appliances.environment.air_heater,view,2
ctr,stationery.cartrige,view,1
cube,appliances.kitchen.toster,cart,275
cube,appliances.kitchen.toster,purchase,85
cube,appliances.kitchen.toster,view,24936
cube,construction.tools.pump,cart,1
cube,construction.tools.pump,view,69
cube,sport.bicycle,view,56
cubicfun,computers.desktop,cart,48
cubicfun,computers.desktop,purchase,20
cubicfun,computers.desktop,view,2467
cubicfun,furniture.kitchen.chair,cart,3
cubicfun,furniture.kitchen.chair,view,118
cubicfun,furniture.living_room.chair,cart,1
cubicfun,furniture.living_room.chair,purchase,1
cubicfun,furniture.living_room.chair,view,140
cubicfun,kids.toys,view,26
cullmann,sport.tennis,cart,22
cullmann,sport.tennis,purchase,4
cullmann,sport.tennis,view,1184
cvgaudio,appliances.kitchen.toster,cart,6
cvgaudio,appliances.kitchen.toster,purchase,1
cvgaudio,appliances.kitchen.toster,view,257
cybermass,apparel.underwear,view,1
cyberpower,computers.ebooks,view,11
cybex,accessories.bag,cart,20
cybex,accessories.bag,purchase,6
cybex,accessories.bag,view,487
cybex,apparel.shoes.keds,view,21
cybex,apparel.sock,cart,9
cybex,apparel.sock,purchase,5
cybex,apparel.sock,view,305
cybex,appliances.kitchen.washer,view,1
cybex,electronics.telephone,cart,36
cybex,electronics.telephone,purchase,7
cybex,electronics.telephone,view,1544
cybex,furniture.living_room.chair,view,10
cybex,kids.carriage,view,46
cybex,kids.skates,cart,177
cybex,kids.skates,purchase,40
cybex,kids.skates,view,9586
cybex,kids.toys,view,6
cybex,sport.tennis,view,3
d-clinic,apparel.costume,view,37
d-clinic,apparel.shirt,view,39
d-clinic,auto.accessories.compressor,view,5
d-clinic,construction.tools.pump,view,8
d-clinic,furniture.living_room.sofa,view,15
d-link,appliances.personal.massager,cart,1
d-link,appliances.personal.massager,view,67
d-link,computers.desktop,cart,5
d-link,computers.desktop,purchase,1
d-link,computers.desktop,view,70
d-link,computers.peripherals.mouse,cart,82
d-link,computers.peripherals.mouse,purchase,28
d-link,computers.peripherals.mouse,view,1348
d-link,furniture.kitchen.chair,cart,1
d-link,furniture.kitchen.chair,purchase,1
d-link,furniture.kitchen.chair,view,32
d-link,furniture.kitchen.table,cart,1128
d-link,furniture.kitchen.table,purchase,219
d-link,furniture.kitchen.table,view,25520
d-link,kids.fmcg.diapers,view,153
dab,accessories.bag,view,154
dabur,apparel.shoes,cart,4
dabur,apparel.shoes,view,21
daesung,apparel.scarf,cart,22
daesung,apparel.scarf,purchase,2
daesung,apparel.scarf,view,760
daewoo,apparel.shoes,view,13
daewoo,appliances.kitchen.refrigerators,cart,6
daewoo,appliances.kitchen.refrigerators,purchase,3
daewoo,appliances.kitchen.refrigerators,view,939
daewoo,appliances.kitchen.washer,cart,23
daewoo,appliances.kitchen.washer,purchase,9
daewoo,appliances.kitchen.washer,view,1517
daewoo,construction.tools.saw,view,5
dagee,electronics.audio.microphone,view,11
dageni,apparel.shoes,cart,3
dageni,apparel.shoes,view,150
dahon,appliances.kitchen.toster,cart,218
dahon,appliances.kitchen.toster,purchase,28
dahon,appliances.kitchen.toster,view,7702
dahon,sport.bicycle,view,2
dahua,computers.desktop,cart,39
dahua,computers.desktop,purchase,7
dahua,computers.desktop,view,2176
dainese,sport.trainer,view,417
daisy,apparel.shoes,cart,9
daisy,apparel.shoes,purchase,1
daisy,apparel.shoes,view,441
daiwa,apparel.jeans,view,12
daiwa,apparel.shoes.keds,cart,32
daiwa,apparel.shoes.keds,purchase,12
daiwa,apparel.shoes.keds,view,1625
dakar,apparel.shirt,view,1
dalbello,apparel.trousers,view,1
dam,apparel.jeans,view,33
dam,apparel.shoes,cart,58
dam,apparel.shoes,purchase,19
dam,apparel.shoes,view,3777
dam,apparel.shoes.keds,cart,73
dam,apparel.shoes.keds,purchase,15
dam,apparel.shoes.keds,view,2619
dam,appliances.kitchen.grill,cart,5
dam,appliances.kitchen.grill,view,1256
dam,auto.accessories.parktronic,cart,17
dam,auto.accessories.parktronic,purchase,4
dam,auto.accessories.parktronic,view,596
dam,sport.snowboard,cart,9
dam,sport.snowboard,purchase,2
dam,sport.snowboard,view,181
damixa,computers.desktop,view,20
damixa,furniture.bedroom.blanket,view,481
damper,furniture.bedroom.bed,cart,1
damper,furniture.bedroom.bed,view,47
danau,sport.trainer,view,44
daniel,computers.desktop,view,25
danielklein,electronics.clocks,cart,1
danielklein,electronics.clocks,view,1
danke,appliances.kitchen.hob,cart,17
danke,appliances.kitchen.hob,purchase,1
danke,appliances.kitchen.hob,view,1102
danke,appliances.kitchen.hood,view,3
danke,appliances.kitchen.refrigerators,view,3
danke,appliances.personal.massager,cart,2
danke,appliances.personal.massager,purchase,1
danke,appliances.personal.massager,view,525
danke,computers.desktop,view,16
danke,furniture.bedroom.blanket,cart,2
danke,furniture.bedroom.blanket,purchase,1
danke,furniture.bedroom.blanket,view,170
dara,appliances.kitchen.toster,cart,4
dara,appliances.kitchen.toster,purchase,1
dara,appliances.kitchen.toster,view,15
dardav,furniture.bedroom.bed,view,1
darina,appliances.kitchen.hob,cart,27
darina,appliances.kitchen.hob,purchase,6
darina,appliances.kitchen.hob,view,1264
darina,appliances.kitchen.oven,cart,1
darina,appliances.kitchen.oven,view,258
darina,appliances.kitchen.refrigerators,view,18
darina,appliances.personal.massager,cart,29
darina,appliances.personal.massager,purchase,7
darina,appliances.personal.massager,view,1823
darina-rus,appliances.kitchen.refrigerators,cart,4
darina-rus,appliances.kitchen.refrigerators,purchase,2
darina-rus,appliances.kitchen.refrigerators,view,69
dariush,apparel.shirt,cart,1
dariush,apparel.shirt,view,278
darling,appliances.kitchen.grill,cart,5
darling,appliances.kitchen.grill,purchase,2
darling,appliances.kitchen.grill,view,82
darling,furniture.kitchen.table,cart,13
darling,furniture.kitchen.table,purchase,5
darling,furniture.kitchen.table,view,137
dasch,apparel.shirt,cart,3
dasch,apparel.shirt,purchase,2
dasch,apparel.shirt,view,491
dauscher,accessories.bag,cart,151
dauscher,accessories.bag,purchase,37
dauscher,accessories.bag,view,4160
dauscher,apparel.shoes,cart,14
dauscher,apparel.shoes,purchase,5
dauscher,apparel.shoes,view,296
dauscher,apparel.shoes.keds,cart,43
dauscher,apparel.shoes.keds,purchase,14
dauscher,apparel.shoes.keds,view,1586
dauscher,apparel.tshirt,cart,21
dauscher,apparel.tshirt,purchase,9
dauscher,apparel.tshirt,view,254
dauscher,appliances.environment.vacuum,cart,138
dauscher,appliances.environment.vacuum,purchase,37
dauscher,appliances.environment.vacuum,view,3301
dauscher,appliances.kitchen.blender,cart,14
dauscher,appliances.kitchen.blender,purchase,5
dauscher,appliances.kitchen.blender,view,267
dauscher,appliances.kitchen.dishwasher,cart,48
dauscher,appliances.kitchen.dishwasher,purchase,11
dauscher,appliances.kitchen.dishwasher,view,2472
dauscher,appliances.kitchen.hob,cart,64
dauscher,appliances.kitchen.hob,purchase,31
dauscher,appliances.kitchen.hob,view,1973
dauscher,appliances.kitchen.kettle,cart,3
dauscher,appliances.kitchen.kettle,purchase,2
dauscher,appliances.kitchen.kettle,view,94
dauscher,appliances.kitchen.meat_grinder,cart,5
dauscher,appliances.kitchen.meat_grinder,view,136
dauscher,appliances.kitchen.mixer,cart,123
dauscher,appliances.kitchen.mixer,purchase,37
dauscher,appliances.kitchen.mixer,view,1627
dauscher,appliances.kitchen.oven,cart,425
dauscher,appliances.kitchen.oven,purchase,143
dauscher,appliances.kitchen.oven,view,9630
dauscher,appliances.kitchen.refrigerators,cart,2351
dauscher,appliances.kitchen.refrigerators,purchase,790
dauscher,appliances.kitchen.refrigerators,view,42210
dauscher,appliances.kitchen.steam_cooker,cart,11
dauscher,appliances.kitchen.steam_cooker,purchase,1
dauscher,appliances.kitchen.steam_cooker,view,203
dauscher,appliances.kitchen.washer,cart,75
dauscher,appliances.kitchen.washer,purchase,30
dauscher,appliances.kitchen.washer,view,2562
dauscher,appliances.personal.massager,cart,24
dauscher,appliances.personal.massager,purchase,5
dauscher,appliances.personal.massager,view,1221
dauscher,auto.accessories.radar,view,5
dauscher,computers.components.cooler,cart,122
dauscher,computers.components.cooler,purchase,31
dauscher,computers.components.cooler,view,2562
dauscher,computers.desktop,cart,8
dauscher,computers.desktop,purchase,3
dauscher,computers.desktop,view,133
dauscher,construction.tools.generator,cart,91
dauscher,construction.tools.generator,purchase,21
dauscher,construction.tools.generator,view,1652
dauscher,electronics.camera.photo,cart,181
dauscher,electronics.camera.photo,purchase,59
dauscher,electronics.camera.photo,view,2476
dauscher,electronics.tablet,cart,4
dauscher,electronics.tablet,purchase,2
dauscher,electronics.tablet,view,111
dauscher,electronics.video.tv,cart,1
dauscher,electronics.video.tv,view,3
dauscher,furniture.bedroom.blanket,cart,314
dauscher,furniture.bedroom.blanket,purchase,82
dauscher,furniture.bedroom.blanket,view,7094
dauscher,kids.skates,cart,33
dauscher,kids.skates,purchase,12
dauscher,kids.skates,view,2656
dauscher,kids.swing,cart,115
dauscher,kids.swing,purchase,24
dauscher,kids.swing,view,1166
davidoff,apparel.jeans,view,2
davidoff,apparel.jumper,view,1
davidoff,apparel.shoes.sandals,cart,43
davidoff,apparel.shoes.sandals,purchase,10
davidoff,apparel.shoes.sandals,view,1355
davinci,apparel.shoes,cart,53
davinci,apparel.shoes,purchase,19
davinci,apparel.shoes,view,1757
davita,computers.components.cooler,view,7
davita,furniture.bedroom.bed,view,33
davita,furniture.kitchen.table,view,2
daye,computers.peripherals.camera,cart,3
daye,computers.peripherals.camera,purchase,2
daye,computers.peripherals.camera,view,167
dbpower,kids.fmcg.diapers,view,17
dcshoes,apparel.costume,view,1
dda,medicine.tools.tonometer,cart,62
dda,medicine.tools.tonometer,purchase,20
dda,medicine.tools.tonometer,view,5240
dds,auto.accessories.alarm,cart,1
dds,auto.accessories.alarm,purchase,1
dds,auto.accessories.alarm,view,43
dds,furniture.bedroom.blanket,view,1
ddstyle,apparel.shorts,cart,33
ddstyle,apparel.shorts,purchase,13
ddstyle,apparel.shorts,view,944
dearest,accessories.bag,cart,18
dearest,accessories.bag,purchase,5
dearest,accessories.bag,view,987
dearest,apparel.shoes,cart,23
dearest,apparel.shoes,purchase,2
dearest,apparel.shoes,view,1440
dearest,apparel.shoes.keds,cart,5
dearest,apparel.shoes.keds,purchase,3
dearest,apparel.shoes.keds,view,305
dearest,electronics.audio.acoustic,cart,2
dearest,electronics.audio.acoustic,purchase,1
dearest,electronics.audio.acoustic,view,131
dearest,electronics.clocks,cart,8
dearest,electronics.clocks,purchase,3
dearest,electronics.clocks,view,537
dearest,kids.skates,cart,14
dearest,kids.skates,purchase,4
dearest,kids.skates,view,220
dearest,sport.bicycle,cart,1
dearest,sport.bicycle,view,503
decathlon,accessories.bag,cart,76
decathlon,accessories.bag,purchase,19
decathlon,accessories.bag,view,1980
decathlon,apparel.costume,cart,1488
decathlon,apparel.costume,purchase,382
decathlon,apparel.costume,view,36506
decathlon,apparel.glove,cart,170
decathlon,apparel.glove,purchase,38
decathlon,apparel.glove,view,3240
decathlon,apparel.jacket,view,16
decathlon,apparel.jeans,cart,121
decathlon,apparel.jeans,purchase,46
decathlon,apparel.jeans,view,1151
decathlon,apparel.jumper,cart,167
decathlon,apparel.jumper,purchase,47
decathlon,apparel.jumper,view,6782
decathlon,apparel.shirt,cart,63
decathlon,apparel.shirt,purchase,21
decathlon,apparel.shirt,view,2766
decathlon,apparel.shoes,cart,611
decathlon,apparel.shoes,purchase,202
decathlon,apparel.shoes,view,14974
decathlon,apparel.shoes.ballet_shoes,view,6
decathlon,apparel.shoes.espadrilles,cart,142
decathlon,apparel.shoes.espadrilles,purchase,50
decathlon,apparel.shoes.espadrilles,view,2706
decathlon,apparel.shoes.keds,cart,218
decathlon,apparel.shoes.keds,purchase,55
decathlon,apparel.shoes.keds,view,4804
decathlon,apparel.shoes.sandals,cart,2
decathlon,apparel.shoes.sandals,purchase,1
decathlon,apparel.shoes.sandals,view,58
decathlon,apparel.shoes.step_ins,cart,11
decathlon,apparel.shoes.step_ins,purchase,6
decathlon,apparel.shoes.step_ins,view,277
decathlon,apparel.shorts,cart,290
decathlon,apparel.shorts,purchase,94
decathlon,apparel.shorts,view,7150
decathlon,apparel.sock,cart,523
